0,10,10,70.867,70.775,0.091838,2.5301,29.225
0,100,100,2.8952,2.1173,0.7779,1.6832,97.883
0,10,100,3.0539,2.2201,0.83375,1.6687,97.78
0,0,150,2.1405,1.173,0.9675,1.4622,98.827
5,34,146,1.3297,0.7073,0.62237,1.7469,99.293
10,49,142,1.1851,0.64305,0.54206,1.8275,99.357
15,59,138,1.1781,0.67294,0.50514,1.8654,99.327
20,67,134,1.3442,0.79493,0.54929,1.8235,99.205
25,75,130,1.3652,0.83408,0.5311,1.8422,99.166
30,82,125,1.6825,1.0985,0.58399,1.7924,98.902
35,88,121,1.5897,1.068,0.52165,1.8545,98.932
40,94,116,2.2453,1.5622,0.68307,1.6946,98.438
45,100,111,2.1713,1.5337,0.63762,1.7398,98.466
50,106,106,2.8189,1.9962,0.82272,1.6178,98.004
