0,10,10,42.337,31.972,10.365,89.255,3961.3
0,100,100,265.37,250.07,15.303,84.298,3866.2
0,10,100,23.921,15.64,8.2809,91.379,3910.2
0,0,150,391.3,384.62,6.6859,93.314,71.092
5,27,123,31.633,22.751,8.8812,90.764,4279.7
10,38,112,15.244,8.0468,7.1971,92.524,4305.6
15,45,105,14.205,7.7622,6.4429,93.278,4310.4
20,51,99,15.189,8.0178,7.1708,92.573,4312.4
25,55,95,15.354,8.2143,7.1397,92.591,4313.2
30,60,90,14.692,7.7591,6.9331,92.799,4314.4
35,64,86,15.398,8.3656,7.0319,92.687,4314
40,68,82,17.916,10.099,7.8171,91.904,4312.4
45,71,79,22.082,12.933,9.1488,90.548,4309.6
50,75,75,33.959,22.039,11.92,87.735,4092.5
